Depth (m),"Grad. P (Pa/m), t=1 s","Grad. P (Pa/m), t=5 s","Grad. P (Pa/m), t=10 s","Grad. P (Pa/m), t=30 s","Grad. P (Pa/m), t=60 s","Grad. P (Pa/m), t=120 s"
0,0,0,0,0,0,-3.39E+06
2,0,0,0,0,-4.94E+07,-2.28E+06
4,0,0,0,0,-2.36E+07,-1.58E+06
6,0,0,0,0,-1.19E+07,-1.12E+06
8,0,0,0,0,-6.32E+06,-8.16E+05
10,0,0,0,0,-3.54E+06,-6.11E+05
12,0,0,0,-2.95E+07,-2.10E+06,-4.70E+05
14,0,0,0,-1.15E+07,-1.31E+06,-3.72E+05
16,0,0,0,-5.01E+06,-8.64E+05,-3.02E+05
18,0,0,0,-2.42E+06,-6.01E+05,-2.52E+05
20,0,0,-4.35E+07,-1.31E+06,-4.41E+05,-2.16E+05
22,0,0,-9.41E+06,-7.84E+05,-3.42E+05,-1.90E+05
24,0,-2.17E+07,-2.81E+06,-5.24E+05,-2.80E+05,-1.72E+05
26,0,-3.69E+06,-1.16E+06,-3.90E+05,-2.41E+05,-1.59E+05
28,-1.96E+07,-1.20E+06,-6.62E+05,-3.24E+05,-2.20E+05,-1.52E+05
30,-1.79E+06,-7.44E+05,-5.21E+05,-2.99E+05,-2.11E+05,-1.49E+05
30.4,-1.64E+06,-7.30E+05,-5.16E+05,-2.98E+05,-2.11E+05,-1.49E+05
30.47,-1.63E+06,-7.30E+05,-5.16E+05,-2.98E+05,-2.11E+05,-1.49E+05
